"LA code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"408","Dudley","4739","1026","3713","1500.6380640850668","661.48311477312291","2310.6171395144779",2016
"415","Herefordshire","845","420","425","451.48536011968372","453.96080805023831","449.06541562324992",2016
"409","Sandwell","2596","713","1883","819.65401507329841","456.0252252943697","1174.1743988825701",2016
"417","Shropshire","2047","592","1455","660.06494239345295","385.00809687636166","930.55679914043412",2016
"410","Solihull","896","230","666","426.89027585878318","225.63176895306859","616.92943290660844",2016
"413","Staffordshire","5299","1785","3513","616.04459609493529","418.01125000585444","811.04854516868568",2016
"414","Stoke-on-Trent","1956","554","1402","779.19905030136204","442.93423945632622","1113.1224593495936",2016
"418","Telford and Wrekin","1511","363","1148","891.76109537299351","432.30754573170731","1343.129913889929",2016
"411","Walsall","1707","579","1128","622.59959952292888","430.08037080504505","808.32981002816257",2016
"404","Warwickshire","6071","2197","3874","1100.6283607145836","806.43385186870944","1387.7346324688351",2016
"412","Wolverhampton","2583","871","1711","1021.0010791068315","696.22630952095471","1337.9312501954896",2016
"416","Worcestershire","9416","3569","5847","1636.3671120796771","1258.866561555365","2003.0009043821426",2016
"G","East of England","49262","18279","30976","818.52550759896803","617.0057852520124","1013.6623198128179",2016
"625","Bedford","804","371","433","490.47119396793636","459.79575649415028","520.20760247969633",2016
"623","Cambridgeshire","4393","1928","2465","686.60150230221723","603.3484587701455","769.66790313112767",2016
"626","Central Bedfordshire","2434","876","1556","904.57714549049342","657.43555105257224","1145.5411504001297",2016
"620","Essex","8965","3418","5545","626.06803435587619","488.61168808333559","757.0792714562682",2016
"606","Hertfordshire","11722","4330","7392","1015.0974309946777","765.95413473716985","1254.0333662449234",2016
"611","Luton","3734","963","2771","1769.9870118789165","904.84557490110581","2650.7868178122158",2016
"607","Norfolk","6232","2236","3994","710.02950860762667","519.00785010979007","893.73623816258225",2016
"624","Peterborough","861","395","466","452.06105186888658","415.99966298761478","487.91213393502181",2016
